City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kaeo,100,NZ,1566677517,100,-35.1,173.78,52.0,10.0
Semaria,100,IN,1566677518,89,24.31,79.97,74.9,1.07
Lapua,0,FI,1566677519,87,62.97,23.01,52.0,3.36
Kamina,0,CD,1566677522,31,-8.74,25.0,68.06,3.56
Omboue,100,GA,1566677523,89,-1.57,9.26,74.54,9.91
Nsanje,100,MZ,1566677524,82,-16.92,35.26,68.42,5.7
Tumpat,75,MY,1566677526,94,6.2,102.17,75.2,3.36
Benghazi,0,LY,1566677528,72,32.12,20.07,80.3,13.62
Kalemie,68,CD,1566677529,47,-5.95,29.2,68.42,2.59
Guerrero Negro,7,MX,1566677530,74,27.97,-114.04,76.34,6.55
Gigmoto,100,PH,1566677533,79,13.78,124.39,82.1,10.74
Opunake,0,NZ,1566677534,80,-39.45,173.86,48.99,13.0
Potosi,100,BO,1566677536,19,-19.59,-65.75,52.22,5.82
Bukachacha,2,RU,1566677537,93,52.99,116.91,49.7,1.9
Suez,0,EG,1566677540,65,29.97,32.54,78.68,15.39
Luang Prabang,5,LA,1566677542,94,19.89,102.14,67.88,1.32
Limon,1,US,1566677543,24,39.26,-103.69,81.0,9.17
Seydi,100,NE,1566677544,64,13.34,7.75,80.84,13.94
North Bend,1,US,1566677545,64,43.41,-124.22,82.99,16.11
Piranhas,1,BR,1566677548,22,-16.43,-51.82,85.16,3.04
San Mateo del Mar,0,MX,1566677549,61,16.21,-94.98,89.48,10.02
Port Hedland,0,AU,1566677550,77,-20.31,118.58,60.8,6.93
Caravelas,73,BR,1566677551,78,-17.73,-39.27,73.1,8.28
Ouesso,100,CG,1566677553,98,1.61,16.05,70.4,4.03
Tilichiki,56,RU,1566677554,82,60.47,166.1,56.9,4.16
Alta Floresta,100,BR,1566677555,42,-9.87,-56.08,84.62,1.88
Kalmunai,100,LK,1566677348,68,7.42,81.82,78.5,2.04
Caluquembe,49,AO,1566677558,25,-13.78,14.68,56.0,4.12
Bristol,0,GB,1566677269,59,51.45,-2.6,75.2,8.05
Albion,90,US,1566677560,94,41.69,-98.0,71.6,14.99
Andili,75,PH,1566677562,88,7.46,125.97,80.6,2.17
Tabou,100,CI,1566677563,88,4.42,-7.36,74.9,5.95
Buchanan,75,LR,1566677564,94,5.88,-10.05,78.8,9.55
Zyryanka,83,RU,1566677565,66,65.73,150.89,64.1,8.01
Tessalit,64,ML,1566677566,40,20.2,1.01,90.56,8.84
Beltangadi,100,IN,1566677568,94,13.98,75.3,69.86,5.37
Vila Velha,0,BR,1566677569,54,-3.71,-38.6,84.2,19.46
Jalu,0,LY,1566677570,49,29.03,21.55,81.92,16.91
Samarai,52,PG,1566677572,89,-10.62,150.67,70.04,5.06
Hofn,79,IS,1566677573,80,64.25,-15.21,40.7,16.11
Este,0,IT,1566677575,78,45.22,11.66,75.2,6.93
Hami,100,CN,1566677577,27,42.84,93.51,75.62,20.96
Basco,1,US,1566677578,47,40.33,-91.2,75.99,13.87
Ridgetown,20,CA,1566677579,52,42.44,-81.88,73.0,9.17
Makhachkala,40,RU,1566677580,78,42.98,47.5,77.0,6.71
Marica,75,BR,1566677582,78,-22.92,-42.82,71.6,10.29
Matam,71,SN,1566677583,38,15.66,-13.26,91.82,15.52
Vitim,97,RU,1566677584,96,59.44,112.57,53.48,5.12
San Luis,0,AR,1566677585,26,-33.3,-66.34,75.08,2.08
Humaita,20,AR,1566677587,29,-24.93,-65.37,75.2,5.82
Sillamae,33,EE,1566677588,75,59.4,27.75,61.94,9.22
Miyako,100,JP,1566677589,83,33.63,130.94,70.0,9.17
Luangwa,2,MZ,1566677590,59,-15.62,30.4,62.84,3.89
Tete,78,MZ,1566677593,63,-16.16,33.59,73.1,10.51
Ambilobe,0,MG,1566677594,75,-13.19,49.05,70.04,6.58
Tashtagol,81,RU,1566677595,95,52.76,87.85,49.52,3.6
Voh,100,NC,1566677596,61,-20.95,164.69,67.88,10.98
Yumen,100,CN,1566677598,22,40.29,97.04,74.72,24.54
Sable-sur-Sarthe,0,FR,1566677599,56,47.84,-0.33,78.8,4.0
Vieques,40,PR,1566677601,74,18.43,-65.83,89.6,18.34
Hirado,100,JP,1566677602,88,33.32,129.49,71.6,2.24
Port Macquarie,0,AU,1566677576,100,-31.43,152.91,44.01,2.98
Ratnagiri,28,IN,1566677605,82,16.98,73.3,80.66,14.14
Urla,0,TR,1566677606,51,38.32,26.77,89.6,6.93
Abu Kamal,46,SY,1566677607,17,34.45,40.92,90.38,9.71
Poum,91,MK,1566677609,85,41.28,20.71,61.04,3.8
Sao Felix do Xingu,100,BR,1566677610,44,-6.64,-51.99,85.88,1.83
Sinnamary,0,GF,1566677613,69,5.38,-52.96,83.0,6.73
Otavi,0,NA,1566677615,21,-19.64,17.34,60.14,8.5
Santa Rosa,23,AR,1566677616,42,-36.62,-64.29,70.04,8.75
Pearl Lagoon,75,NI,1566677617,74,12.34,-83.67,87.8,4.7
Escarcega,17,MX,1566677618,28,18.61,-90.75,102.98,3.62
Ponta do Sol,0,BR,1566677619,42,-20.63,-46.0,66.62,5.41
San Quintin,100,PH,1566677621,91,17.54,120.52,73.28,3.78
Bonavista,92,CA,1566677622,78,48.65,-53.11,53.01,8.99
Nome,40,US,1566677623,66,30.04,-94.42,91.99,3.36
Birjand,0,IR,1566677624,14,32.86,59.22,69.8,13.87
Taksimo,1,RU,1566677626,92,56.36,114.84,47.54,0.94
Adrar,81,DZ,1566677627,9,27.87,-0.29,107.6,14.99
Coquimbo,75,CL,1566677628,76,-29.95,-71.34,57.2,13.87
Nara,75,JP,1566677629,78,34.68,135.8,77.0,12.75
Prince Rupert,90,CA,1566677630,100,54.32,-130.32,55.4,8.05
Khash,0,IR,1566677633,20,28.22,61.21,62.3,6.2
Semnan,0,IR,1566677634,9,35.58,53.39,86.0,4.7
Indramayu,38,ID,1566677635,87,-4.05,103.78,66.62,2.8
Dakar,40,SN,1566677469,78,14.69,-17.45,84.2,10.29
Tunceli,0,TR,1566677638,40,39.11,39.55,75.0,6.93
Kenora,40,CA,1566677641,53,49.76,-94.48,78.01,10.29
Deniliquin,0,AU,1566677642,90,-35.53,144.96,37.99,5.01
Itoman,20,JP,1566677644,83,26.12,127.67,84.2,13.87
Nueva Granada,100,CO,1566677645,47,9.8,-74.39,93.44,3.13
Sept-Iles,20,CA,1566677646,52,50.2,-66.38,66.2,9.17
Praia da Vitoria,20,PT,1566677647,78,38.73,-27.07,71.6,14.18
Ravar,0,IR,1566677649,20,31.27,56.81,61.94,4.38
Zlatograd,0,BG,1566677650,58,41.38,25.09,82.4,6.93
Mangai,46,CD,1566677651,28,-4.07,19.59,82.64,1.45
Moa,100,CU,1566677652,78,20.66,-74.95,82.82,0.87
Ambunti,97,PG,1566677653,99,-4.22,142.82,72.92,1.77
Vestmannaeyjar,32,IS,1566677655,87,63.44,-20.27,51.5,14.14
Bathurst,0,AU,1566677656,58,-33.42,149.58,45.0,4.29
Qaqortoq,75,GL,1566677657,27,60.72,-46.03,53.6,21.92
Huarmey,7,PE,1566677658,89,-10.07,-78.15,59.6,11.43
Upata,8,VE,1566677660,73,8.02,-62.41,82.99,8.99
Berlevag,100,NO,1566677661,67,70.86,29.09,44.12,7.96
Natchitoches,75,US,1566677507,55,31.76,-93.09,91.4,10.29
Jiaocheng,100,CN,1566677663,92,24.68,116.14,74.36,9.55
Wilmington,90,US,1566677664,44,39.75,-75.55,80.01,8.05
Blackfoot,1,US,1566677666,13,43.19,-112.35,87.8,18.34
Brufut,75,GM,1566677667,83,13.38,-16.75,82.4,5.82
Corrente,0,BR,1566677668,30,-17.45,-44.68,78.86,5.53
Emilio Carranza,0,MX,1566677669,47,19.97,-96.61,93.62,3.4
Genhe,0,CN,1566677670,95,50.78,121.52,48.26,0.69
Coachella,1,US,1566677672,37,33.68,-116.18,100.0,3.36
Ust-Nera,58,RU,1566677673,74,64.57,143.24,51.32,4.45
Ancud,75,CL,1566677674,76,-41.87,-73.83,51.8,12.75
Lamu,81,CN,1566677675,88,35.77,102.37,50.6,1.59
Haputale,97,LK,1566677641,94,6.77,80.96,66.08,3.67
Ugoofaaru,100,MV,1566677678,76,5.67,73.0,82.1,13.47
Tairua,65,NZ,1566677679,82,-37.02,175.85,54.0,12.24
Dentsville,90,US,1566677568,83,34.06,-80.96,88.0,5.82
Pouembout,100,NC,1566677682,61,-21.12,164.9,67.88,10.98
Moita,0,PT,1566677683,72,38.65,-8.99,77.0,18.34
Broome,99,GB,1566677684,77,52.47,1.45,71.6,2.24
Kabansk,75,RU,1566677685,82,52.06,106.65,60.8,4.47
Oktyabrskoye,0,RU,1566677687,87,56.73,85.44,62.01,6.71
Zakharovo,0,RU,1566677688,59,54.37,39.28,59.0,7.78
Roald,40,NO,1566677689,82,62.58,6.12,68.0,4.7
Besikduzu,75,TR,1566677690,78,41.05,39.23,75.2,4.7
Nhulunbuy,53,AU,1566677691,93,-12.18,136.78,62.6,13.62
Kamenka,85,MD,1566677693,73,48.03,28.7,66.99,8.9
Gravelbourg,68,CA,1566677694,34,49.88,-106.56,82.28,16.06
Rocha,100,UY,1566677695,85,-34.48,-54.34,52.58,7.16
Sisimiut,0,GL,1566677696,81,66.94,-53.67,43.04,19.17
Ucluelet,40,CA,1566677452,87,48.94,-125.55,71.01,8.05
Mnogovershinnyy,100,RU,1566677699,91,53.94,139.92,50.24,0.43
Pimenta Bueno,98,BR,1566677700,26,-11.68,-61.19,93.98,5.23
Hwange,0,ZW,1566677701,32,-18.35,26.5,54.2,0.51
Muli,4,CN,1566677702,86,28.08,109.56,72.56,2.84
Aksu,0,KZ,1566677704,52,52.04,76.93,68.0,8.95
Skuodas,0,LV,1566677707,93,56.27,21.52,60.8,4.63
Wajima,0,JP,1566677708,74,37.4,136.9,76.7,14.9
Cravinhos,0,BR,1566677709,20,-21.34,-47.73,82.4,8.05
Pavlogradka,78,RU,1566677710,83,54.2,73.56,55.64,7.05
Adre,100,TD,1566677712,77,13.47,22.2,74.18,1.14
Half Moon Bay,5,US,1566677713,68,37.46,-122.43,84.0,9.17
Flin Flon,90,CA,1566677714,100,54.77,-101.88,64.4,8.05
Awjilah,0,LY,1566677716,58,29.14,21.3,79.58,16.84
Haines Junction,100,CA,1566677717,93,60.75,-137.51,40.52,4.61
Fort Dodge,75,US,1566677719,64,42.5,-94.17,75.99,9.17
Dubti,23,ET,1566677721,37,11.74,41.09,92.72,12.73
Rabo de Peixe,75,PT,1566677722,94,37.8,-25.58,71.6,14.99
Vostok,17,RU,1566677723,99,46.45,135.83,48.62,0.85
Morant Bay,20,JM,1566677724,66,17.88,-76.41,89.6,24.16
Newport,40,US,1566677677,47,41.49,-71.31,75.99,12.75
Grado,75,ES,1566677728,82,43.39,-6.07,69.01,2.24
Kibala,20,TD,1566677729,88,9.11,18.35,77.0,4.34
Solnechnyy,100,RU,1566677730,98,50.72,136.64,51.86,2.89
Chingirlau,21,KZ,1566677732,58,51.09,54.08,69.86,9.19
Lucea,40,JM,1566677733,70,18.44,-78.17,87.8,23.04
Sioux Lookout,75,CA,1566677736,57,50.1,-91.92,75.2,11.41
Gravdal,100,NO,1566677737,68,59.79,5.78,68.0,10.29
Kifri,1,IQ,1566677739,18,34.69,44.96,92.18,7.61
Mogadishu,37,SO,1566677741,85,2.04,45.34,75.44,13.18
Kayankulam,91,IN,1566677742,82,9.18,76.5,79.76,5.86
